# multipoles are divided by excitation current and units are [T], [m] and [A]
# harmonics (dipole n=0): 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 
# MAG_LABEL   CURRENT[A]   <NORMAL_MULTIPOLES/CURRENT>[T/m^(n-1)/A]   <SKEW_MULTIPOLES/CURRENT>[T/m^(n-1)/A]
S15-085   +8.999785e+01   +1.828604e-07 +6.590691e-05 -2.253695e+00 -2.463159e-02 -6.790736e-01 -1.297754e+02 -2.640914e+03 -1.255367e+05 +1.370223e+09 -8.198854e+08 +2.804241e+10 -1.982573e+12 +2.928410e+13 +3.571014e+16 -3.365679e+20   -4.797311e-08 +8.020804e-05 -8.530802e-04 -3.259746e-02 -1.547610e+00 +7.713488e+00 +5.094853e+03 +2.121134e+04 -2.895925e+08 -5.769291e+08 +4.273781e+10 +3.650399e+12 -2.613935e+14 +4.360485e+16 +2.834815e+19   
S15-086   +8.999790e+01   +9.593699e-08 +6.209538e-05 -2.253849e+00 -1.009268e-02 -3.855631e+00 +8.678166e+01 -9.111551e+03 +1.088499e+05 +1.355973e+09 -2.818507e+09 -5.877157e+10 -1.732107e+13 +8.377751e+14 -2.778267e+16 -3.310443e+20   +9.731390e-08 +8.024506e-05 -9.542118e-04 +5.877009e-04 -3.392296e+00 +4.104817e+00 +6.235884e+03 -2.388269e+05 -2.858308e+08 +4.149809e+08 -1.417566e+11 +3.663553e+12 -4.922659e+14 +7.645752e+16 +3.531372e+19   
S15-088   +8.999810e+01   +1.248503e-07 +7.530426e-05 -2.252840e+00 -4.865576e-03 -1.087098e+00 +4.189607e+01 -4.111625e+03 -1.919186e+05 +1.286483e+09 +1.183662e+09 +5.359650e+10 -4.964203e+11 +5.725206e+14 +5.569110e+16 -3.126242e+20   -7.930474e-08 +1.005727e-04 -2.241921e-04 -1.161457e-02 +3.813704e+00 +1.077169e+01 -5.443085e+03 -3.778904e+05 -2.203502e+08 +1.019178e+09 +3.424596e+10 +4.100420e+12 -6.210798e+13 +9.676331e+16 +2.626884e+19   
S15-089   +8.999820e+01   +7.486262e-08 +8.890142e-05 -2.249271e+00 -6.580227e-03 -4.027578e+00 +3.035295e+02 -9.182593e+03 -2.834880e+05 +1.279708e+09 +9.840113e+08 +8.122304e+09 -1.096849e+13 +7.293305e+14 +1.021036e+17 -3.102883e+20   +6.912432e-08 +1.335612e-04 +2.512606e-04 -5.101161e-02 -2.374896e-01 +9.838123e+00 +1.840123e+03 -2.331956e+05 -2.175761e+08 +9.608105e+07 +4.333936e+10 -2.952410e+12 -6.878352e+14 +6.443621e+16 +2.851210e+19   
S15-090   +8.999805e+01   +1.052746e-08 +6.835590e-05 -2.251948e+00 -4.693831e-02 -2.167828e+00 +6.662548e+01 -5.033243e+03 -1.682769e+05 +1.260403e+09 +5.610359e+08 -2.036546e+10 -2.971876e+12 +7.097037e+14 +4.962665e+16 -3.096964e+20   -1.005889e-08 +1.185239e-04 +7.213922e-04 -6.459961e-02 -1.203952e+00 +3.454266e+00 +4.916810e+02 -2.246471e+04 -2.555970e+08 +1.848908e+09 -4.932525e+10 +3.094915e+12 -2.865272e+13 +4.720862e+16 +3.149313e+19   
S15-094   +8.999880e+01   +2.515156e-07 +1.072256e-05 -2.253740e+00 -3.150755e-02 -1.477215e+00 +3.384675e+01 -5.438700e+03 +1.081242e+05 +1.391546e+09 -2.597447e+08 -5.726112e+10 -2.651535e+12 +2.435791e+14 +3.546480e+15 -3.340741e+20   +6.916382e-08 +1.042125e-04 -1.729269e-03 -3.532997e-02 -1.460469e+00 +5.143106e+01 +1.963628e+03 -1.801090e+05 -4.816523e+07 +1.177742e+09 -2.205109e+10 +1.229490e+12 -7.796087e+13 +7.717775e+16 +3.788349e+18   
S15-095   +8.999940e+01   +1.008243e-07 +3.704337e-05 -2.254022e+00 -1.031152e-02 -2.944487e+00 +4.039614e+01 -3.383459e+03 +1.643942e+05 +1.378947e+09 -2.378244e+09 -9.843745e+09 +1.436401e+13 -5.517569e+13 -9.587069e+16 -3.337628e+20   +6.810288e-08 +1.073612e-04 -1.586786e-03 -6.722036e-03 -3.807585e+00 +1.808414e+00 +1.045859e+04 -2.700035e+05 -2.831923e+08 -8.398234e+08 +2.899272e+11 +7.221019e+11 -1.797120e+15 +7.508869e+16 +8.498928e+18   
S15-096   +8.999915e+01   +2.749452e-07 +2.770062e-05 -2.252806e+00 -6.848075e-02 -2.001672e+00 -1.311005e+02 -6.266494e+03 -2.527907e+05 +1.394705e+09 +4.184451e+08 +1.284688e+10 +4.100898e+12 +3.465959e+14 +4.588546e+16 -3.462268e+20   +4.940187e-09 +9.484415e-05 -1.792269e-03 -9.949471e-03 +1.610467e-01 +1.944129e+01 +1.432232e+03 -5.701465e+04 -2.586746e+08 -1.754952e+08 +2.382696e+09 -9.143569e+11 -1.631822e+14 +1.213968e+17 +4.086616e+18   
S15-097   +8.999900e+01   +2.986273e-08 +4.173057e-05 -2.250446e+00 -3.253044e-02 -1.249672e+01 -6.404446e+01 -2.389030e+04 -1.222016e+05 +1.361798e+09 +1.553655e+08 +2.748956e+10 -4.561031e+12 +1.448443e+14 +3.292941e+16 -3.339696e+20   -1.168775e-07 +1.116060e-04 -9.801420e-04 -8.006100e-03 +4.814070e+00 +2.006318e+00 -6.190627e+03 -3.885381e+05 -2.871880e+08 -7.844958e+08 -4.931290e+10 +5.521878e+12 -2.518374e+14 +1.009099e+17 +8.892345e+18   
S15-098   +8.999975e+01   +4.129929e-07 +3.595696e-05 -2.252578e+00 -8.082627e-02 -2.593011e-01 -1.367442e+02 -2.343763e+03 -2.171667e+05 +1.375363e+09 +2.576152e+08 -4.364879e+10 +1.415956e+12 -2.254432e+14 +6.499668e+16 -3.367966e+20   +1.240200e-07 +9.452897e-05 -1.630969e-03 +2.032792e-02 -1.061238e+00 +7.799155e+00 +1.389117e+03 -2.700002e+05 -2.666092e+08 +2.904061e+08 +6.780796e+10 -5.439727e+12 -1.347650e+14 +9.872085e+16 +1.006990e+19   
S15-108   +8.999845e+01   +2.315008e-07 +4.604496e-05 -2.254464e+00 -7.663086e-02 -6.558217e+00 +5.006511e+01 -1.349103e+04 -1.617709e+05 +1.490701e+09 +6.506774e+08 +3.564195e+10 +2.754294e+12 +5.585775e+14 +5.586982e+16 -3.353552e+20   -1.979643e-07 +9.683478e-05 -9.934656e-04 -8.583028e-03 +2.920890e+00 -5.995481e-01 -4.708989e+02 -2.143098e+05 -2.453670e+07 -2.661214e+08 -1.383502e+10 -1.755211e+12 -4.717429e+14 +9.019702e+16 -9.910513e+17   
S15-112   +8.999800e+01   +2.182044e-07 +1.126136e-05 -2.253456e+00 -5.445387e-02 -8.640949e-01 -9.571732e+01 -6.814887e+03 -2.078611e+05 +1.461254e+09 -4.047587e+08 -5.949604e+10 +2.002503e+12 +4.256875e+14 +6.023394e+16 -3.291031e+20   -1.882992e-08 +9.226093e-05 -1.392142e-03 +2.167049e-02 -1.517722e+00 +5.747315e+01 +5.093435e+03 -3.510627e+05 -1.172262e+08 -3.547762e+08 +4.084536e+08 -5.313497e+12 -1.801609e+14 +1.024894e+17 +4.074641e+18   
