# field on trajectory
# s[mm] rx[mm] ry[mm] rz[mm] bx[T] by[T] bz[T]
1.5930999999996466e+03 -1.9807923532771301e+01 +0.0000000000000000e+00 +1.5929748241750749e+03 +4.9377412255412020e-22 +1.7307287185780383e-04 -2.6351119215309705e-20
1.5931999999996465e+03 -1.9809205343733552e+01 +0.0000000000000000e+00 +1.5930748159595407e+03 +1.4613109986537899e-21 +1.7304593474929883e-04 -1.1307145191548956e-19
1.5932999999996464e+03 -1.9810487154522889e+01 +0.0000000000000000e+00 +1.5931748077440088e+03 +3.4285123420808048e-21 +1.7301901907415540e-04 -2.6528703936833727e-19
1.5933999999996463e+03 -1.9811768965139343e+01 +0.0000000000000000e+00 +1.5932747995284790e+03 +5.4119063966969194e-21 +1.7299210341393303e-04 -4.1875556570023701e-19
1.5934999999996462e+03 -1.9813050775582937e+01 +0.0000000000000000e+00 +1.5933747913129514e+03 +7.4114931592316827e-21 +1.7296518776863167e-04 -5.7347703065813204e-19
1.5935999999996461e+03 -1.9814332585853702e+01 +0.0000000000000000e+00 +1.5934747830974261e+03 +9.4272726264110606e-21 +1.7293827213825128e-04 -7.2945143398868841e-19
1.5936999999996460e+03 -1.9815614395951663e+01 +0.0000000000000000e+00 +1.5935747748819031e+03 +1.1459244794961569e-20 +1.7291135652279191e-04 -8.8667877543861451e-19
1.5937999999996459e+03 -1.9816896205876844e+01 +0.0000000000000000e+00 +1.5936747666663821e+03 +1.3507409661605803e-20 +1.7288444092225359e-04 -1.0451590547543154e-18
1.5938999999996458e+03 -1.9818178015629275e+01 +0.0000000000000000e+00 +1.5937747584508634e+03 +1.5571767223076219e-20 +1.7285752533663625e-04 -1.2048922716829598e-18
1.5939999999996458e+03 -1.9819459825208984e+01 +0.0000000000000000e+00 +1.5938747502353469e+03 +1.7652317476101487e-20 +1.7283060976593993e-04 -1.3658784259714221e-18
1.5940999999996457e+03 -1.9820741634615995e+01 +0.0000000000000000e+00 +1.5939747420198328e+03 +1.9749060417410767e-20 +1.7280369421016455e-04 -1.5281175173666162e-18
1.5941999999996456e+03 -1.9822023443850334e+01 +0.0000000000000000e+00 +1.5940747338043207e+03 +1.9030430812494328e-20 +1.7277684213257548e-04 -1.4728573246896642e-18
1.5942999999996455e+03 -1.9823305252912032e+01 +0.0000000000000000e+00 +1.5941747255888108e+03 +1.7339190191104257e-20 +1.7275001151223563e-04 -1.3424504759776374e-18
1.5943999999996454e+03 -1.9824587061801115e+01 +0.0000000000000000e+00 +1.5942747173733032e+03 +1.5627731394500996e-20 +1.7272318089935629e-04 -1.2104725620034928e-18
1.5944999999996453e+03 -1.9825868870517606e+01 +0.0000000000000000e+00 +1.5943747091577980e+03 +1.3896054426768728e-20 +1.7269635029393740e-04 -1.0769235830845936e-18
1.5945999999996452e+03 -1.9827150679061535e+01 +0.0000000000000000e+00 +1.5944747009422947e+03 +1.2144159291995031e-20 +1.7266951969597904e-04 -9.4180353953856435e-19
1.5946999999996451e+03 -1.9828432487432927e+01 +0.0000000000000000e+00 +1.5945746927267937e+03 +1.0372045994258401e-20 +1.7264268910548118e-04 -8.0511243168232902e-19
1.5947999999996450e+03 -1.9829714295631810e+01 +0.0000000000000000e+00 +1.5946746845112950e+03 +8.5797145376406234e-21 +1.7261585852244377e-04 -6.6685025983306453e-19
1.5948999999996449e+03 -1.9830996103658212e+01 +0.0000000000000000e+00 +1.5947746762957984e+03 +6.7671649262267342e-21 +1.7258902794686692e-04 -5.2701702430819841e-19
1.5949999999996448e+03 -1.9832277911512158e+01 +0.0000000000000000e+00 +1.5948746680803040e+03 +4.9343971640926441e-21 +1.7256219737875052e-04 -3.8561272542445278e-19
1.5950999999996448e+03 -1.9833559719193676e+01 +0.0000000000000000e+00 +1.5949746598648119e+03 +3.0814112553175314e-21 +1.7253536681809459e-04 -2.4263736349880264e-19
1.5951999999996447e+03 -1.9834841526702792e+01 +0.0000000000000000e+00 +1.5950746516493220e+03 +3.6238794319804102e-21 +1.7250859927171852e-04 -2.0849566615813969e-19
1.5952999999996446e+03 -1.9836123334039534e+01 +0.0000000000000000e+00 +1.5951746434338343e+03 +4.9982500942566028e-21 +1.7248185312015792e-04 -2.1207768825553531e-19
1.5953999999996445e+03 -1.9837405141203927e+01 +0.0000000000000000e+00 +1.5952746352183487e+03 +6.3891975033293822e-21 +1.7245510697605783e-04 -2.1617093720525540e-19
1.5954999999996444e+03 -1.9838686948195999e+01 +0.0000000000000000e+00 +1.5953746270028655e+03 +7.7967216558562426e-21 +1.7242836083941816e-04 -2.2077541290419555e-19
1.5955999999996443e+03 -1.9839968755015775e+01 +0.0000000000000000e+00 +1.5954746187873843e+03 +9.2208225484921434e-21 +1.7240161471023904e-04 -2.2589111524926204e-19
1.5956999999996442e+03 -1.9841250561663283e+01 +0.0000000000000000e+00 +1.5955746105719054e+03 +1.0661500177899157e-20 +1.7237486858852035e-04 -2.3151804413740562e-19
1.5957999999996441e+03 -1.9842532368138549e+01 +0.0000000000000000e+00 +1.5956746023564287e+03 +1.2118754540736814e-20 +1.7234812247426213e-04 -2.3765619946558743e-19
1.5958999999996440e+03 -1.9843814174441601e+01 +0.0000000000000000e+00 +1.5957745941409544e+03 +1.3592585633665409e-20 +1.7232137636746439e-04 -2.4430558113078945e-19
1.5959999999996439e+03 -1.9845095980572463e+01 +0.0000000000000000e+00 +1.5958745859254821e+03 +1.5082993453342540e-20 +1.7229463026812716e-04 -2.5146618902999930e-19
1.5960999999996438e+03 -1.9846377786531164e+01 +0.0000000000000000e+00 +1.5959745777100120e+03 +1.6589977996433160e-20 +1.7226788417625037e-04 -2.5913802306025649e-19
1.5961999999996438e+03 -1.9847659592317733e+01 +0.0000000000000000e+00 +1.5960745694945442e+03 +1.4356296136079652e-20 +1.7224120126665686e-04 -1.3303168545579275e-19
1.5962999999996437e+03 -1.9848941397932194e+01 +0.0000000000000000e+00 +1.5961745612790785e+03 +1.0820787044593972e-20 +1.7221453987608515e-04 +3.9903870756491645e-20
1.5963999999996436e+03 -1.9850223203374572e+01 +0.0000000000000000e+00 +1.5962745530636150e+03 +7.2589143094637718e-21 +1.7218787846313199e-04 +2.1411355754248819e-19
1.5964999999996435e+03 -1.9851505008644896e+01 +0.0000000000000000e+00 +1.5963745448481538e+03 +3.6706779359974424e-21 +1.7216121702779739e-04 +3.8959737464569308e-19
1.5965999999996434e+03 -1.9852786813743190e+01 +0.0000000000000000e+00 +1.5964745366326949e+03 +5.6077929502199199e-23 +1.7213455557008134e-04 +5.6635532180965365e-19
1.5966999999996433e+03 -1.9854068618669483e+01 +0.0000000000000000e+00 +1.5965745284172381e+03 -3.5848857047075166e-21 +1.7210789408998392e-04 +7.4438739877757352e-19
1.5967999999996432e+03 -1.9855350423423804e+01 +0.0000000000000000e+00 +1.5966745202017835e+03 -7.2522129613349401e-21 +1.7208123258750504e-04 +9.2369360529351077e-19
1.5968999999996431e+03 -1.9856632228006177e+01 +0.0000000000000000e+00 +1.5967745119863312e+03 -1.0945903835076133e-20 +1.7205457106264475e-04 +1.1042739411011711e-18
