# trajectory
# s[mm] rx[mm] ry[mm] rz[mm] px[rad] py[rad] pz[rad]
3.1000000000000014e+00 -9.6224182915631735e-04 +0.0000000000000000e+00 +3.0999998008925846e+00 -6.2070073124619182e-04 +0.0000000000000000e+00 +9.9999980736528249e-01
3.2000000000000015e+00 -1.0253123600639019e-03 +0.0000000000000000e+00 +3.1999997810014551e+00 -6.4070964089099527e-04 +0.0000000000000000e+00 +9.9999979474555689e-01
3.3000000000000016e+00 -1.0903837081314325e-03 +0.0000000000000000e+00 +3.2999997598283834e+00 -6.6071707444327957e-04 +0.0000000000000000e+00 +9.9999978172644988e-01
3.4000000000000017e+00 -1.1574557257491075e-03 +0.0000000000000000e+00 +3.3999997373334354e+00 -6.8072303189204981e-04 +0.0000000000000000e+00 +9.9999976830805004e-01
3.5000000000000018e+00 -1.2265282653060254e-03 +0.0000000000000000e+00 +3.4999997134766865e+00 -7.0072751322630699e-04 +0.0000000000000000e+00 +9.9999975449044587e-01
3.6000000000000019e+00 -1.2976011791901848e-03 +0.0000000000000000e+00 +3.5999996882182206e+00 -7.2073051843504754e-04 +0.0000000000000000e+00 +9.9999974027372607e-01
3.7000000000000020e+00 -1.3706743197884840e-03 +0.0000000000000000e+00 +3.6999996615181305e+00 -7.4073204750726399e-04 +0.0000000000000000e+00 +9.9999972565797912e-01
3.8000000000000020e+00 -1.4457475394867199e-03 +0.0000000000000000e+00 +3.7999996333365185e+00 -7.6073210043194441e-04 +0.0000000000000000e+00 +9.9999971064329363e-01
3.9000000000000021e+00 -1.5228206906695880e-03 +0.0000000000000000e+00 +3.8999996036334945e+00 -7.8073067719807278e-04 +0.0000000000000000e+00 +9.9999969522975818e-01
4.0000000000000018e+00 -1.6018936257206821e-03 +0.0000000000000000e+00 +3.9999995723691781e+00 -8.0072777779462872e-04 +0.0000000000000000e+00 +9.9999967941746137e-01
