# field on trajectory
# s[mm] rx[mm] ry[mm] rz[mm] bx[T] by[T] bz[T]
1.9000000000000006e+00 -1.0294199655849391e-04 +0.0000000000000000e+00 +1.8999999962817349e+00 +0.0000000000000000e+00 -5.7071124538574813e-01 +0.0000000000000000e+00
2.0000000000000004e+00 -1.1406315696087700e-04 +0.0000000000000000e+00 +1.9999999956631984e+00 +0.0000000000000000e+00 -5.7071133219085035e-01 +0.0000000000000000e+00
2.1000000000000005e+00 -1.2575463388675253e-04 +0.0000000000000000e+00 +2.0999999949796098e+00 +0.0000000000000000e+00 -5.7071142344750103e-01 +0.0000000000000000e+00
2.2000000000000006e+00 -1.3801642742693369e-04 +0.0000000000000000e+00 +2.1999999942277162e+00 +0.0000000000000000e+00 -5.7071151915570084e-01 +0.0000000000000000e+00
2.3000000000000007e+00 -1.5084853767666367e-04 +0.0000000000000000e+00 +2.2999999934042652e+00 +0.0000000000000000e+00 -5.7071161931545045e-01 +0.0000000000000000e+00
2.4000000000000008e+00 -1.6425096473561554e-04 +0.0000000000000000e+00 +2.3999999925060043e+00 +0.0000000000000000e+00 -5.7071172392675085e-01 +0.0000000000000000e+00
2.5000000000000009e+00 -1.7822370870789232e-04 +0.0000000000000000e+00 +2.4999999915296809e+00 +0.0000000000000000e+00 -5.7071183298960260e-01 +0.0000000000000000e+00
2.6000000000000010e+00 -1.9276676970202692e-04 +0.0000000000000000e+00 +2.5999999904720421e+00 +0.0000000000000000e+00 -5.7071194650400670e-01 +0.0000000000000000e+00
2.7000000000000011e+00 -2.0788014783098218e-04 +0.0000000000000000e+00 +2.6999999893298354e+00 +0.0000000000000000e+00 -5.7071206446996403e-01 +0.0000000000000000e+00
2.8000000000000012e+00 -2.2356384321215087e-04 +0.0000000000000000e+00 +2.7999999880998083e+00 +0.0000000000000000e+00 -5.7071218688747549e-01 +0.0000000000000000e+00
2.9000000000000012e+00 -2.3981785596735572e-04 +0.0000000000000000e+00 +2.8999999867787083e+00 +0.0000000000000000e+00 -5.7071231375654208e-01 +0.0000000000000000e+00
3.0000000000000013e+00 -2.5664218622284933e-04 +0.0000000000000000e+00 +2.9999999853632824e+00 +0.0000000000000000e+00 -5.7071244507716457e-01 +0.0000000000000000e+00
3.1000000000000014e+00 -2.7403683410931419e-04 +0.0000000000000000e+00 +3.0999999838502781e+00 +0.0000000000000000e+00 -5.7071258084934429e-01 +0.0000000000000000e+00
3.2000000000000015e+00 -2.9200179976186281e-04 +0.0000000000000000e+00 +3.1999999822364424e+00 +0.0000000000000000e+00 -5.7071272107308202e-01 +0.0000000000000000e+00
3.3000000000000016e+00 -3.1053708332003761e-04 +0.0000000000000000e+00 +3.2999999805185234e+00 +0.0000000000000000e+00 -5.7071286574837898e-01 +0.0000000000000000e+00
3.4000000000000017e+00 -3.2964268492781092e-04 +0.0000000000000000e+00 +3.3999999786932680e+00 +0.0000000000000000e+00 -5.7071301487523640e-01 +0.0000000000000000e+00
